name,winery,variety,region,country,vintage,rating,price,type,body,acidity,food_pairings
Legno Chardonnay,Pizzato,Chardonnay,Vale dos Vinhedos,Brazil,,4.2,,White,Full-bodied,High,"['Pork', 'Rich Fish', 'Vegetarian', 'Poultry']"
Millésime Brut,Miolo,Chardonnay,Serra Gaúcha,Brazil,,4.06,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Vista do Chá Syrah,Guaspari,Syrah/Shiraz,São Paulo,Brazil,,4.28,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Vista da Mata,Guaspari,Cabernet Sauvignon,São Paulo,Brazil,,4.26,,Red,Full-bodied,Medium,"['Beef', 'Lamb', 'Pork', 'Game Meat', 'Spicy Food', 'Poultry', 'Soft Cheese']"
Raízes Gran Corte,Casa Valduga,Cabernet Sauvignon,Serra Gaúcha,Brazil,,4.09,,Red,Medium-bodied,Medium,"['Beef', 'Game Meat']"
Maria Valduga Brut Vintage Espumante,Casa Valduga,Chardonnay,Serra Gaúcha,Brazil,,4.41,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Tinto,Villa Francioni,Malbec,Santa Catarina,Brazil,,4.01,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Parte 2 Merlot,Almaúnica,Merlot,Vale dos Vinhedos,Brazil,,4.35,,Red,Full-bodied,Low,"['Beef', 'Lamb', 'Veal']"
Origine Teroldego,Don Guerino,Teroldego,Vale dos Vinhedos,Brazil,,4.0,,Red,Medium-bodied,Medium,"['Beef', 'Lamb', 'Veal', 'Poultry', 'Cured Meat']"
Blanc de Blanc Brut,Cave Geisse,Chardonnay,Pinto Bandeira,Brazil,,4.27,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Tannat (Grande Vindima),Lidio Carraro,Tannat,Vale dos Vinhedos,Brazil,,4.26,,Red,Full-bodied,Medium,['Beef']
Churchill Cabernet Franc,Valmarino,Cabernet Franc,Serra Gaúcha,Brazil,,4.4,,Red,Medium-bodied,High,"['Beef', 'Pork', 'Game Meat', 'Poultry']"
Super Premium Cabernet Franc,Almaúnica,Cabernet Franc,Vale dos Vinhedos,Brazil,,4.24,,Red,Medium-bodied,High,"['Beef', 'Pork', 'Game Meat', 'Poultry']"
Blanc de Noir Brut,Cave Geisse,Pinot Noir,Pinto Bandeira,Brazil,,4.28,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Dionisio Teroldego-Tannat,Ravanello,Teroldego,Rio Grande do Sul,Brazil,,4.13,,Red,Full-bodied,Medium,['Beef']
Reserva da Família Orval Salton,Valmarino,Cabernet Sauvignon,Serra Gaúcha,Brazil,,4.25,,Red,Full-bodied,Medium,"['Beef', 'Lamb', 'Pork', 'Game Meat', 'Spicy Food', 'Poultry', 'Soft Cheese']"
Gran Nature Espumante,Casa Valduga,Pinot Noir,Vale dos Vinhedos,Brazil,,4.03,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Moscatel,Jolimont,Muscat of Alexandria,Serra Gaúcha,Brazil,,4.25,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Traços Red Blend,Don Guerino,Malbec,Vale dos Vinhedos,Brazil,,4.37,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Terroir Gewürztraminer,Casa Valduga,Gewürztraminer,Serra Gaúcha,Brazil,,4.11,,White,Medium-bodied,Medium,"['Rich Fish', 'Spicy Food', 'Sweet Dessert', 'Poultry', 'Soft Cheese']"
Terroir Nature,Cave Geisse,Chardonnay,Pinto Bandeira,Brazil,,4.38,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Extra Brut,Cave Geisse,Pinot Noir,Pinto Bandeira,Brazil,,4.24,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Valmarino & Churchill Champenoise Natural Extra Brut,Valmarino,Chardonnay,Serra Gaúcha,Brazil,,4.27,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Seival Estate Sesmarias,Miolo,Tannat,Campanha Gaúcha,Brazil,,4.52,,Red,Full-bodied,Medium,"['Beef', 'Lamb', 'Pork', 'Game Meat', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese', 'Poultry']"
Mundvs Cabernet Sauvignon,Casa Valduga,Cabernet Sauvignon,Maipo Valley,Chile,,3.76,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Nervi Reserva Tannat,Pizzato,Tannat,Vale dos Vinhedos,Brazil,,4.03,,Red,Full-bodied,Medium,['Beef']
Sangue de Verdade Egiodola Reserva,Pizzato,Egiodola,Vale dos Vinhedos,Brazil,,4.03,,Red,Full-bodied,Medium,"['Poultry', 'Beef', 'Pork', 'Medium-cured Cheese']"
130 Special Edition Blanc de Blancs,Casa Valduga,Chardonnay,Serra Gaúcha,Brazil,,4.47,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Terroir Selection Teroldego,Don Guerino,Teroldego,Vale dos Vinhedos,Brazil,,4.32,,Red,Medium-bodied,Medium,"['Beef', 'Lamb', 'Veal', 'Poultry', 'Cured Meat']"
Terroir Rosé Brut,Cave Geisse,Pinot Noir,Pinto Bandeira,Brazil,,4.27,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Septimum 7,Salton,Cabernet Sauvignon,Serra Gaúcha,Brazil,,4.18,,Red,Full-bodied,Medium,"['Beef', 'Lamb', 'Pork', 'Game Meat', 'Spicy Food', 'Poultry', 'Soft Cheese']"
Brut Rosé,Cave Geisse,Pinot Noir,Pinto Bandeira,Brazil,,4.02,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
130 Blanc de Noir Special Edition,Casa Valduga,Pinot Noir,Vale dos Vinhedos,Brazil,,4.27,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Chardonnay Vinho Fino Seco,Gazzaro,Chardonnay,Serra Gaúcha,Brazil,,4.1,,White,Full-bodied,High,"['Pork', 'Rich Fish', 'Vegetarian', 'Poultry']"
Brandina Assemblage Tinto Seco,Villa Santa Maria,Cabernet Sauvignon,São Paulo,Brazil,,4.0,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Super Premium Chardonnay,Almaúnica,Chardonnay,Vale dos Vinhedos,Brazil,,4.08,,White,Full-bodied,High,"['Pork', 'Rich Fish', 'Vegetarian', 'Poultry']"
Tannat Reserva,Don Laurindo,Tannat,Vale dos Vinhedos,Brazil,,4.04,,Red,Full-bodied,Medium,['Beef']
Rosé,Thera,Cabernet Franc,Santa Catarina,Brazil,,4.09,,Rosé,Medium-bodied,Medium,"['Beef', 'Lamb', 'Pork', 'Game Meat', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese', 'Poultry', 'Soft Cheese']"
Paralelo 31 Gran Reserva,Bueno,Cabernet Sauvignon,Campanha Gaúcha,Brazil,,4.12,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Cave Amadeu Rústico Nature,Cave Geisse,Pinot Noir,Serra Gaúcha,Brazil,,4.09,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Terroir Selection Malbec,Don Guerino,Malbec,Vale dos Vinhedos,Brazil,,4.36,,Red,Full-bodied,Medium,"['Beef', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese', 'Poultry']"
Gerações Antonio Nini Salton Edição Limitada,Salton,Cabernet Sauvignon,Serra Gaúcha,Brazil,,4.3,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Cave Merlot,Luiz Argenta,Merlot,Serra Gaúcha,Brazil,,4.01,,Red,Full-bodied,Low,"['Beef', 'Lamb', 'Veal']"
Premium Tannat,Ravanello,Tannat,Rio Grande do Sul,Brazil,,4.0,,Red,Medium-bodied,Medium,['Beef']
Segredos da Adega Chardonnay Gran Reserva,Casa Marques Pereira,Chardonnay,Vale dos Vinhedos,Brazil,,4.1,,White,Full-bodied,High,"['Pork', 'Rich Fish', 'Vegetarian', 'Poultry']"
Gran Extra Brut Espumante,Casa Valduga,Chardonnay,Serra Gaúcha,Brazil,,4.16,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Reserva da Familia Lote 13,Marco Luigi,Malbec,Vale dos Vinhedos,Brazil,,4.01,,Red,Full-bodied,Medium,"['Beef', 'Game Meat', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese', 'Poultry']"
Carmenere,Pequenas Partilhas,Carmenère,Colchagua Valley,Chile,,3.64,,Red,Full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Poultry']"
Ice,Casa Perini,Muscat/Moscato,Serra Gaúcha,Brazil,,4.12,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
RSV Reserva Moscatel Espumante,Casa Valduga,Chardonnay,Vale dos Vinhedos,Brazil,,4.26,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Moscatel Rosé,Garibaldi,Muscat/Moscato,Serra Gaúcha,Brazil,,4.0,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
La Valletta Sangiovese,Bueno,Sangiovese,Toscana,Italy,,4.2,,Red,Medium-bodied,Medium,"['Beef', 'Lamb', 'Veal', 'Poultry', 'Cured Meat']"
Malbec,Pequenas Partilhas,Malbec,Maipu,Argentina,,3.58,,Red,Very full-bodied,High,"['Beef', 'Lamb', 'Poultry']"
Gran Reserva,Don Laurindo,Ancellotta,Vale dos Vinhedos,Brazil,,4.01,,Red,Full-bodied,Medium,['Beef']
Terroir Exclusivo Malbec,Casa Valduga,Malbec,Serra Gaúcha,Brazil,,4.02,,Red,Full-bodied,Medium,"['Beef', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese', 'Poultry']"
Moscatel Rosé,Don Guerino,Muscat/Moscato Giallo,Vale dos Vinhedos,Brazil,,4.03,,Sparkling,Light-bodied,Medium,"['Pork', 'Rich Fish', 'Shellfish']"
Era Chardonnay,Casa Valduga,Chardonnay,Serra do Sudeste,Brazil,,4.18,,White,Full-bodied,High,"['Pork', 'Rich Fish', 'Vegetarian', 'Poultry']"
Agnus Tannat,Lidio Carraro,Tannat,Vale dos Vinhedos,Brazil,,4.04,,Red,Medium-bodied,Medium,['Beef']
Merlot Uvas Desidratadas,Luiz Argenta,Merlot,Serra Gaúcha,Brazil,,4.53,,Red,Full-bodied,Low,"['Beef', 'Lamb', 'Veal']"
Segredos da Adega Cabernet Sauvignon Gran Reserva,Casa Marques Pereira,Cabernet Sauvignon,Vale dos Vinhedos,Brazil,,4.07,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Poultry']"
Cuvée Maragato,Familia Bebber,Cabernet Franc,Serra Gaúcha,Brazil,,4.2,,Red,Full-bodied,Medium,"['Beef', 'Pork', 'Game Meat', 'Poultry', 'Soft Cheese']"
RSV Blush Espumante,Casa Valduga,Chardonnay,Vale dos Vinhedos,Brazil,,4.12,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Arte Tradicional Elegance Espumante,Casa Valduga,Chardonnay,Vale dos Vinhedos,Brazil,,4.0,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Double Terroir Cabernet Sauvignon,Valmarino,Cabernet Sauvignon,Serra Gaúcha,Brazil,,4.03,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Poultry']"
Segredos da Adega Merlot Gran Reserva,Casa Marques Pereira,Merlot,Vale dos Vinhedos,Brazil,,4.08,,Red,Full-bodied,Low,"['Beef', 'Lamb', 'Veal']"
Leopoldina Terroir Chardonnay,Casa Valduga,Chardonnay,Vale dos Vinhedos,Brazil,,4.16,,White,Full-bodied,High,"['Pork', 'Rich Fish', 'Vegetarian', 'Poultry']"
Terroirs Malbec,Casa Perini,Malbec,Mendoza,Argentina,,3.9,,Red,Very full-bodied,High,"['Beef', 'Lamb', 'Poultry']"
Cepas Selecionadas Marselan,Larentis,Marselan,Rio Grande do Sul,Brazil,,4.2,,Red,Medium-bodied,Medium,"['Beef', 'Pasta', 'Veal']"
Terroir Selection Chardonnay,Don Guerino,Chardonnay,Vale dos Vinhedos,Brazil,,4.27,,White,Full-bodied,High,"['Pork', 'Rich Fish', 'Vegetarian', 'Poultry']"
Los Nevados Malbec,Miolo,Malbec,Mendoza,Argentina,,3.21,,Red,Very full-bodied,High,"['Beef', 'Lamb', 'Poultry']"
Biografia Chardonnay,Maximo Boschi,Chardonnay,Serra Gaúcha,Brazil,,4.33,,White,Full-bodied,High,"['Pork', 'Rich Fish', 'Vegetarian', 'Poultry']"
PP Semillon (Plínio Pizzato),Pizzato,Sémillon,Vale dos Vinhedos,Brazil,,4.13,,White,Full-bodied,Medium,"['Rich Fish', 'Shellfish', 'Sweet Dessert', 'Poultry']"
Domenico Marselan-Tannat,Salton,Tannat,Campanha Gaúcha,Brazil,,4.13,,Red,Medium-bodied,Medium,['Beef']
Cuvée Cabernet Sauvignon-Merlot,Luiz Argenta,Cabernet Sauvignon,Serra Gaúcha,Brazil,,4.09,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Perfetto Tannat,Torcello,Tannat,Vale dos Vinhedos,Brazil,,4.39,,Red,Medium-bodied,High,['Beef']
Refosco dal Peduncolo Rosso,Leone di Venezia,Refosco dal Peduncolo Rosso,Santa Catarina,Brazil,,4.19,,Red,Full-bodied,Medium,"['Beef', 'Lamb', 'Veal', 'Poultry', 'Cured Meat']"
Cave Chardonnay,Luiz Argenta,Chardonnay,Serra Gaúcha,Brazil,,4.05,,White,Full-bodied,High,"['Pork', 'Rich Fish', 'Vegetarian', 'Poultry']"
Classic Malbec,Salton,Malbec,Mendoza,Argentina,,3.12,,Red,Very full-bodied,High,"['Beef', 'Lamb', 'Poultry']"
Vinhas Velhas Tannat,Miolo,Tannat,Campanha Gaúcha,Brazil,,4.26,,Red,Full-bodied,High,['Beef']
Cabernet Franc XXIV Ano Vinte E Quatro,Valmarino,Cabernet Franc,Serra Gaúcha,Brazil,,4.22,,Red,Medium-bodied,High,"['Beef', 'Pork', 'Game Meat', 'Poultry']"
Perfetto Malbec,Torcello,Malbec,Vale dos Vinhedos,Brazil,,4.32,,Red,Full-bodied,Medium,"['Beef', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese', 'Poultry']"
Cuvée Red Blend,Luiz Argenta,Merlot,Serra Gaúcha,Brazil,,4.13,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Gran Speciale Cabernet Sauvignon-Cabernet Franc,Casa Verrone,Cabernet Sauvignon,São Paulo,Brazil,,4.18,,Red,Full-bodied,Medium,"['Beef', 'Lamb', 'Pork', 'Game Meat', 'Spicy Food', 'Poultry', 'Soft Cheese']"
Faces Cabernet Sauvignon,Lidio Carraro,Cabernet Sauvignon,Maule Valley,Chile,,3.62,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Assemblage Bonarda-Malbec,Massimiliano,Malbec,Mendoza,Argentina,,3.28,,Red,Medium-bodied,Medium,"['Beef', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese', 'Poultry']"
Loess Pinot Noir,Terragnolo,Pinot Noir,Vale dos Vinhedos,Brazil,,4.29,,Red,Full-bodied,High,"['Beef', 'Veal', 'Game Meat', 'Poultry']"
Gran Reserva Cabernet Sauvignon,Luiz Argenta,Cabernet Sauvignon,Serra Gaúcha,Brazil,,4.03,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Poultry']"
Reserva Tannat,Milantino,Tannat,Vale dos Vinhedos,Brazil,,4.02,,Red,Full-bodied,Medium,['Beef']
Comendador Merlot,Casa do Vinho,Merlot,Santa Catarina,Brazil,,4.17,,Red,Full-bodied,Low,"['Beef', 'Lamb', 'Veal']"
Anima Gran Reserva Merlot,Bueno,Merlot,Campanha Gaúcha,Brazil,,4.37,,Red,Full-bodied,Low,"['Beef', 'Lamb', 'Veal']"
Marselan,Dom Bernardo,Marselan,Vale dos Vinhedos,Brazil,,4.04,,Red,Full-bodied,Medium,"['Beef', 'Pasta', 'Veal']"
Dilor,Villa Francioni,Merlot,Santa Catarina,Brazil,,4.43,,Red,Medium-bodied,Medium,"['Beef', 'Lamb', 'Pork', 'Game Meat', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese', 'Poultry', 'Soft Cheese']"
Armando Winemaker Signature Teroldego,Peterlongo,Teroldego,Serra Gaúcha,Brazil,,4.27,,Red,Full-bodied,Medium,"['Beef', 'Lamb', 'Veal', 'Poultry', 'Cured Meat']"
Terroir Sauvignon Blanc,Casa Valduga,Sauvignon Blanc,Serra Gaúcha,Brazil,,4.01,,White,Light-bodied,High,"['Rich Fish', 'Shellfish', 'Vegetarian']"
Dedicato Cabernet Sauvignon,Monte Paschoal,Cabernet Sauvignon,Serra Gaúcha,Brazil,,4.17,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Poultry']"
Tempos de Goes Philosophia Cabernet Franc,Goes,Cabernet Franc,São Paulo,Brazil,,4.08,,Red,Medium-bodied,High,"['Beef', 'Pork', 'Game Meat', 'Poultry']"
Lumen Brut,Don Guerino,Chardonnay,Vale dos Vinhedos,Brazil,,4.06,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Gran Fabian,Fabian,Cabernet Sauvignon,Serra Gaúcha,Brazil,,4.02,,Red,Medium-bodied,Medium,"['Beef', 'Pasta', 'Chocolate', 'Spicy Food']"
Gran Reserva Tannat,Dunamis,Tannat,Campanha Gaúcha,Brazil,,4.28,,Red,Medium-bodied,Medium,['Beef']
Pássaro da Lua Merlot,Cárdenas,Merlot,Serra do Sudeste,Brazil,,4.09,,Red,Full-bodied,Low,"['Beef', 'Lamb', 'Veal']"
Assemblage,Cerro da Cruz,Cabernet Sauvignon,Campanha Gaúcha,Brazil,,4.16,,Red,Medium-bodied,Low,"['Beef', 'Lamb', 'Game Meat', 'Spicy Food', 'Poultry']"
Passionado,Quinta Santa Maria,Cabernet Sauvignon,Santa Catarina,Brazil,,4.07,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Cave Rosé Nature,Luiz Argenta,Pinot Noir,Serra Gaúcha,Brazil,,4.07,,Sparkling,Medium-bodied,High,"['Rich Fish', 'Shellfish', 'Cheese']"
Perfetto Merlot,Torcello,Merlot,Vale dos Vinhedos,Brazil,,4.36,,Red,Full-bodied,Low,"['Beef', 'Lamb', 'Veal']"
Branco Nature,Pizzato,Chardonnay,Vale dos Vinhedos,Brazil,,4.03,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Quinta da Orada Corte IV,Casa Marques Pereira,Cabernet Franc,Serra Gaúcha,Brazil,,4.43,,Red,Medium-bodied,Medium,"['Beef', 'Pork', 'Game Meat', 'Poultry', 'Soft Cheese']"
90 Anos Annis Fundamenta,Aurora,Cabernet Sauvignon,Serra Gaúcha,Brazil,,4.02,,Red,Medium-bodied,Medium,"['Beef', 'Lamb', 'Pork', 'Game Meat', 'Spicy Food', 'Poultry', 'Soft Cheese']"
Da'Divas Sauvignon Blanc,Lidio Carraro,Sauvignon Blanc,Vale dos Vinhedos,Brazil,,4.04,,White,Medium-bodied,High,"['Rich Fish', 'Shellfish', 'Vegetarian']"
Remy Valduga Asssemblage,Torcello,Cabernet Sauvignon,Vale dos Vinhedos,Brazil,,4.55,,Red,Medium-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Spicy Food', 'Poultry']"
Ancellotta,Milantino,Ancellotta,Vale dos Vinhedos,Brazil,,4.09,,Red,Medium-bodied,Medium,"['Beef', 'Barbecue', 'Codfish', 'Pasta', 'Pizza', 'Cheese']"
Cave Rosé Nature 48 Meses,Luiz Argenta,Pinot Noir,Serra Gaúcha,Brazil,,4.27,,Sparkling,Medium-bodied,High,"['Rich Fish', 'Shellfish', 'Seafood', 'Risotto', 'Cheese']"
100 Anos Tinto Seco,Salton,Cabernet Sauvignon,Serra Gaúcha,Brazil,,4.15,,Red,Medium-bodied,Medium,"['Beef', 'Lamb', 'Pork', 'Game Meat', 'Spicy Food', 'Poultry', 'Soft Cheese']"
Meninas do Vinhedo Pinot Noir,Cárdenas,Pinot Noir,Serra do Sudeste,Brazil,,4.12,,Red,Full-bodied,High,"['Beef', 'Veal', 'Game Meat', 'Poultry']"
Reserva Marselan,Familia Bebber,Marselan,Serra Gaúcha,Brazil,,4.12,,Red,Medium-bodied,Medium,"['Beef', 'Pasta', 'Veal']"
Los Nevados Cabernet Sauvignon,Miolo,Cabernet Sauvignon,Mendoza,Argentina,,3.16,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Poultry']"
Acordes Merlot,Garibaldi,Merlot,Serra Gaúcha,Brazil,,4.01,,Red,Full-bodied,Low,"['Beef', 'Lamb', 'Veal']"
Via 1986 Gerant Cuvée Prestige,Viapiana,Merlot,Serra Gaúcha,Brazil,,4.3,,Red,Full-bodied,Medium,"['Beef', 'Lamb', 'Pork', 'Game Meat', 'Barbecue', 'Pasta', 'Maturated Cheese']"
Icone Merlot,Era dos Ventos,Merlot,Rio Grande do Sul,Brazil,,4.06,,Red,Full-bodied,Low,"['Beef', 'Lamb', 'Veal']"
Edição Única Riesling,Aurora,Riesling,Serra Gaúcha,Brazil,,4.0,,White,Full-bodied,High,"['Pork', 'Rich Fish', 'Spicy Food', 'Sweet Dessert', 'Vegetarian', 'Poultry']"
Naturelle Moscatel Rosé,Casa Valduga,Muscat/Moscato,Serra Gaúcha,Brazil,,4.3,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Kairos O Momento Supremo,Lidio Carraro,Tempranillo,Vale dos Vinhedos,Brazil,,4.31,,Red,Full-bodied,Medium,"['Beef', 'Lamb', 'Pork', 'Game Meat', 'Risotto', 'Pasta', 'Maturated Cheese']"
Gran Vin,Adega Chesini,Cabernet Sauvignon,Serra Gaúcha,Brazil,,4.17,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Poultry']"
Malbec-Merlot,Thera,Malbec,Santa Catarina,Brazil,,4.03,,Red,Medium-bodied,Medium,"['Beef', 'Game Meat', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese', 'Poultry']"
Reserva Tannat,Casa Marques Pereira,Tannat,Vale dos Vinhedos,Brazil,,4.02,,Red,Medium-bodied,High,['Beef']
Gran Reserva Cabernet Franc,Dunamis,Cabernet Franc,Campanha Gaúcha,Brazil,,4.23,,Red,Medium-bodied,High,"['Beef', 'Pork', 'Game Meat', 'Poultry']"
Icone Teroldego,Era dos Ventos,Teroldego,Rio Grande do Sul,Brazil,,4.02,,Red,Medium-bodied,Medium,"['Beef', 'Lamb', 'Veal', 'Poultry', 'Cured Meat']"
Los Nevados Chardonnay,Miolo,Chardonnay,Mendoza,Argentina,,3.18,,White,Full-bodied,High,"['Pork', 'Rich Fish', 'Vegetarian', 'Poultry']"
Cave Cabernet Franc,Luiz Argenta,Cabernet Franc,Serra Gaúcha,Brazil,,4.05,,Red,Medium-bodied,High,"['Beef', 'Pork', 'Game Meat', 'Poultry']"
Meninas do Vinhedo Petit Verdot,Cárdenas,Petit Verdot,Serra do Sudeste,Brazil,,4.0,,Red,Medium-bodied,Medium,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Otto Nature Sur Lie,Adega Refinaria,Chardonnay,Serra Gaúcha,Brazil,,4.19,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Syrah,Terra Nossa,Syrah/Shiraz,São Paulo,Brazil,,4.01,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
